145,The Orange County Register,https://www.livingsocial.com/deals/1621808-sunday-subscription-to-the-orange-county-register,Los Angeles Area, 168,5,
146,Rotor F/X,https://www.livingsocial.com/deals/1272208-a-sightseeing-experience-like-no-other-with-an-airplane-tour-or-flight-lesson,"Pacoima, CA", 229,99,
147,Amour Beauty and Body Sculpting,https://www.livingsocial.com/deals/1645210-lipo-light-and-total-body-vibration-sessions,"Hacienda Heights, CA", 150,39,
148,Carlsbad Lagoon,https://www.livingsocial.com/deals/1592776-choice-of-water-sports-rental-packages,"Carlsbad, CA", 50,27,
149,Valencia Body Sculpting,https://www.livingsocial.com/deals/1642034-ultrasonic-cavitation-or-chromogenex-i-lipo-session,"Valencia, CA", 500,99,
150,Davey's Locker Sportfishing,https://www.livingsocial.com/deals/1612818-2-5-hour-whale-watching-cruise,"Newport Beach, CA", 36,12,
151,Amazing Escape Room Northridge,https://www.livingsocial.com/deals/1618046-1-hour-escape-room-visit-for-up-to-8-people,"Northridge, CA", 60,49,
152,Uncorked Tours of Temecula,https://www.livingsocial.com/deals/1424584-sunrise-balloon-flight-or-chauffeured-wine-tour,Multiple Locations, 438,241,
153,Allure Cosmetic Beverly Hills,https://www.livingsocial.com/deals/1634560-40-or-50-units-of-botox,"Los Angeles, CA", 480,289,
154,Brainy Actz Irvine,https://www.livingsocial.com/deals/1620200-ticket-to-the-legend-of-the-lost-art-escape-room,"Irvine, CA", 60,39,
565,Jera Wellness,https://www.livingsocial.com/deals/1599552-customized-facial,"Tustin, CA", 100,38,
155,Santa Barbara School of Mosaic Art,https://www.livingsocial.com/deals/1641156-beginner-mosaic-workshop,"Santa Barbara, CA", 250,149,
156,Eco Auto Care Park & Wash,https://www.livingsocial.com/deals/1636508-auto-detailing-package,"Pasadena, CA", 175,39,
157,Stellas nails and skin,https://www.livingsocial.com/deals/1642848-eyelash-extensions-or-eyebrow-microblading-session,"Woodland Hills, CA", 140,48,
158,Merlin's Magic Dinner Show,https://www.livingsocial.com/deals/1631086-magic-show-dinner-for-2,"Orange, CA", 59,30,
159,FillaSeat Orange County,https://www.livingsocial.com/deals/1643344-1-year-event-membership-for-2-people,"Las Vegas, NV", 90,45,
160,Star Helicopters,https://www.livingsocial.com/deals/1633774-24-minute-helicopter-day-tour,"Hawthorne, CA", 420,239,
161,Ship 'N a Bottle,https://www.livingsocial.com/deals/1622480-90-minute-luxury-cruise-package,Multiple Locations, 155,75,
162,Levity Live Oxnard,https://www.livingsocial.com/deals/1639544-2-or-4-tickets-to-levity-live-oxnard,"Oxnard, CA", 100,20,
163,Full Psycle,https://www.livingsocial.com/deals/1635790-5-cycling-classes,Multiple Locations, 90,44,
164,Woody's Wharf,https://www.livingsocial.com/deals/1627204-30-to-spend-on-seafood-and-steak,"Newport Beach, CA", 30,18,
165,Vogel Equine,https://www.livingsocial.com/deals/1625236-three-1-hour-private-riding-lessons,"San Juan Capistrano, CA", 315,127,
166,Facial Café,https://www.livingsocial.com/deals/1624634-chemical-peel-facial-or-microdermabrasion,"Orange, CA", 90,39,
167,Honda Rider Education Center,https://www.livingsocial.com/deals/1616540-dirt-bike-lesson-with-all-necessary-gear,"Colton, CA", 180,89,
168,Maze Rooms,https://www.livingsocial.com/deals/1601100-prison-escape-room-experience-for-up-to-6,Multiple Locations, 99,52,
169,Brix Sunset Beach,https://www.livingsocial.com/deals/1643654-burgers-and-new-york-style-deli-sandwiches,"Huntington Beach, CA", 60,30,
170,NASCAR Racing Experience,https://www.livingsocial.com/deals/1621082-nascar-racing-ride-along-or-driving-experience,Multiple Locations, 129,64,
171,Lebua Thai Massage & Spa,https://www.livingsocial.com/deals/1606672-choice-of-swedish-thai-or-deep-tissue-massage,"Long Beach, CA", 55,33,
172,Cosmetic Laser Center of Beverly Hills,https://www.livingsocial.com/deals/1607964-facial-fillers-botox-dysport-or-restylane,"Los Angeles, CA", 1600,299,
173,Newport Crest Medical Center,https://www.livingsocial.com/deals/1604638-ultrasonic-cavitation-body-treatments,"Newport Beach, CA", 249,49,
174,Alegria Cocina Latina,https://www.livingsocial.com/deals/1638094-30-or-40-to-spend-on-latin-american-food,"Long Beach, CA", 30,15,
175,$40 to Spend on Inflatable Couch Products,https://www.livingsocial.com/deals/1640298-40-to-spend-on-inflatable-couch-products,, 40,20,
176,Los Angeles Laser Aesthetics and Skin Care,https://www.livingsocial.com/deals/1622792-80-off-unlimited-laser-hair-removal-treatments-ipl-photofacials-or-sclerotherapy-vein-treatment,Multiple Locations, 750,145,
177,OC Boat Rentals,https://www.livingsocial.com/deals/1640514-2-4-or-6-hour-electric-boat-rental,"Newport Beach, CA", 316,189,
178,Lasik Center Medical Group,https://www.livingsocial.com/deals/1629554-20-units-of-botox-in-irvine,"Irvine, CA", 240,129,
179,2-Day Film School,https://www.livingsocial.com/deals/1637016-admission-for-a-certificated-2-day-film-school-graduation,"Los Angeles, CA", 389,129,
180,Kaein,https://www.livingsocial.com/deals/1629150-escape-room-for-10-or-12-people,"Orange, CA", 300,180,
181,Beverly Hills Rejuvenation Medical Associates,https://www.livingsocial.com/deals/1627412-20-units-of-botox-in-corona-del-mar,"Corona Del Mar, CA", 300,129,
182,Me Time Indulgence,https://www.livingsocial.com/deals/1609316-skin-refreshing-facial-or-clear-cell-facial,"Seal Beach, CA", 65,39,
183,Rockin'Jump,https://www.livingsocial.com/deals/1602158-rockin-birthday-party-package,"Santa Ana, CA", 14,10,
184,$30 to Spend on Fruit Arrangements,https://www.livingsocial.com/deals/1638812-30-to-spend-on-fruit-arrangements,, 30,15,
185,Jungle Island,https://www.livingsocial.com/deals/1634346-paintball-walk-on-package,"Lake Elsinore, CA", 50,27,
186,NOVA Center,https://www.livingsocial.com/deals/1621362-1-or-3-one-hour-float-sessions,"Woodland Hills, CA", 99,55,
187,Advance Beauty College Laguna Hills,https://www.livingsocial.com/deals/1616538-one-or-three-75-minute-facials,"Laguna Hills, CA", 45,34,
188,Brea Imporv,https://www.livingsocial.com/deals/1614944-2-general-admission-tickets,"Brea, CA", 100,20,
189,India Kitchen,https://www.livingsocial.com/deals/1614324-30-to-spend-on-indian-food-at-dinner,"Tustin, CA", 30,15,
190,Segway Tours by Wheel Fun Rentals,https://www.livingsocial.com/deals/1602496-segway-tour-downtown-long-beach-or-sand-sea,"Long Beach, CA", 119,59,
191,Baja Test Kitchen,https://www.livingsocial.com/deals/1634474-curated-baja-california-wine-country-tour,"San Diego, CA", 250,175,
192,Diamond Head Parasail,https://www.livingsocial.com/deals/1627618-beginners-parasail-ride-for-2-or-3-people,"Honolulu, HI", 150,105,
193,Pacific Rejuvenation Medical,https://www.livingsocial.com/deals/1621706-weight-management-program-or-body-treatments,Multiple Locations, 750,99,
194,Personalized Hardcover 1-Click Photo Book,https://www.livingsocial.com/deals/1617692-personalized-hardcover-1-click-photo-book,, 45,9,
195,LA Skincare Center,https://www.livingsocial.com/deals/1601136-oxygen-facial,"El Segundo, CA", 240,99,
196,"50"" x 60"" Personalized Photo Blanket",https://www.livingsocial.com/deals/1639880-50-x-60-personalized-photo-blanket,, 110,29,
197,Whole Body Vibe,https://www.livingsocial.com/deals/1637772-colonic-hydrotherapy-sessions,Multiple Locations, 90,44,
198,dr LASER,https://www.livingsocial.com/deals/1630836-60-minute-signature-facial,Multiple Locations, 110,35,
199,Beverly Hills Rejuvenation Medical Associates,https://www.livingsocial.com/deals/1627406-1-or-2-vials-of-sculptra-facial-injection,"Corona Del Mar, CA", 999,399,
200,Laguna Niguel Car Wash,https://www.livingsocial.com/deals/1617878-executive-or-full-service-hand-wash,"Laguna Niguel, CA", 28,14,
201,Massage Revolution,https://www.livingsocial.com/deals/1614320-1-hour-neuromuscular-or-regular-massage,"Manhattan Beach, CA", 98,38,
202,Beyond Beauty Lashes,https://www.livingsocial.com/deals/1606242-full-set-of-eyelash-extensions,Multiple Locations, 160,58,
203,The G Spa Santa Barbara,https://www.livingsocial.com/deals/1635818-novathreads-facial-or-neck-treatment,"Santa Barbara, CA", 3000,1500,
204,Salt Cave,https://www.livingsocial.com/deals/1632848-salt-cave-session-and-10-to-spend-on-products,"Santa Barbara, CA", 35,15,
205,Tower Foot and Ankle Surgery,https://www.livingsocial.com/deals/1631176-laser-toenail-fungus-removal-for-1-or-2-feet,"Los Angeles, CA", 750,49,
206,Therapeutic Massage by Sharon,https://www.livingsocial.com/deals/1623424-massage-acupuncture-and-optional-cupping,"Orange, CA", 100,18,
