title,link,location,original_price,price,end_date
Jeffrey Thomas,https://www.livingsocial.com/deals/1537702-4-guitar-bass-or-ukulele-lessons-via-skype,Los Angeles Area, 110,55,
"Goodberg, Computer Consulting",https://www.livingsocial.com/deals/1213186-one-hour-on-site-computer-tune-up-for-a-mac-or-pc,Los Angeles Area, 140,99,
Organic Cold-Pressed Juice Cleanses,https://www.livingsocial.com/deals/1638574-organic-cold-pressed-juice-cleanses,, 185,88,
Wine Package,https://www.livingsocial.com/cities/86-sf-valley/deals/1647966-wine-package,, 343,65,
"Early Bird Tickets to ""Shen Yun""",https://www.livingsocial.com/events/1616962-early-bird-tickets-to-shen-yun,Los Angeles Area,,74,Sep 21 - Apr 23
"Early Bird Tickets to ""Shen Yun""",https://www.livingsocial.com/events/1615140-early-bird-tickets-to-shen-yun,Los Angeles Area,,70,use by May  7
Massage1Spa,https://www.livingsocial.com/deals/1637912-1-hour-head-to-toe-couple-s-massage,"Westminster, CA", 90,44,
London Boat Rentals,https://www.livingsocial.com/deals/1635932-2-hour-boat-rental-for-up-to-10-people,"Long Beach, CA", 178,139,
Puzzle Workshop,https://www.livingsocial.com/deals/1602764-admission-to-illuminati-escape-room,"Irvine, CA",,135,
The Ranch House,https://www.livingsocial.com/deals/1641666-5-course-dinner-1-bottle-of-ranch-house-wine,"Ojai, CA", 162,99,
Ticket to Malibu Food & Wine Festival,https://www.livingsocial.com/events/1648298-ticket-to-malibu-food-wine-festival,"Calabasas, CA", 200,79,Jun 09 - Jun 11
Ticket to BottleRock Napa Valley,https://www.livingsocial.com/events/1635502-ticket-to-bottlerock-napa-valley,"Napa, CA",,139,use by May 28
El León Spa,https://www.livingsocial.com/deals/1598420-spa-package-with-thai-massage-and-bodywork,"Los Angeles, CA", 140,65,
Laguna Canyon Spa,https://www.livingsocial.com/deals/1636002-massage-package-for-1-or-2,"Laguna Beach, CA", 250,149,
Racer's Edge Indoor Karting,https://www.livingsocial.com/deals/1602016-16-lap-go-kart-race-with-soft-drink,"Burbank, CA", 23,11,
Newport Pontoons,https://www.livingsocial.com/deals/1638190-2-hour-luxury-boat-rental,"Newport Beach, CA", 200,95,
2nd Street Med Spa,https://www.livingsocial.com/deals/1630984-laser-hair-removal-treatments,"Long beach, CA", 450,105,
